YEAR,APPLICATION_ID,ADMINISTERING_IC,ACTIVITY,TOTAL_COST,PROJECT_TITLE,ABSTRACT_TEXT,MATCHED_TERMS
2022,10335200,CA,R01,351955.0,"Designing a transcriptome-based, targeted theranostic platform for prostate cancer","ABSTRACT
The lack of validated molecular profiles clearly distinguishing aggressive phenotypes of prostate cancer, and
the absence of suitable intermediate endpoints make this tumor difficult to manage rationally. We have
pioneered and developed an in vivo screening system in which peptide-targeted particles capable of homing
to tumors are recovered from a phage display random library following intravenous administration. In an
unbiased screening of an established patient-derived xenograft (PDX) with several biological attributes
reminiscent of human metastatic prostate cancer, we first isolated and validated tumor-homing peptides
targeting the cell surface-associated glucose-regulated protein-78 kD (GRP78); we also screened a patient
directly to isolate and validate ligands targeting the interleukin-11 receptor (IL11R). We next inserted cis-
genetic elements from adeno-associated virus (AAV) within the phage genome and established that hybrid
ligand-directed AAV/phage (AAVP) particles enable systemic tumor targeted delivery and molecular-genetic
imaging of reporter transgene in preclinical models of prostate cancer. We hypothesize that promoters of
upregulated transgenes in prostate cancer should enable transcription-driven suicide gene expression for
tumor imaging with in tandem growth suppression. Work from our group (among others) shows that
overexpression of GRP78 and IL11R is related to disease progression. As such, promoters for these genes
will be evaluated in new AAVP constructs. In Aim 1, we will validate GRP78 and IL11R, in addition to
promoters of other genes identified by transcriptome analysis of prostate cancer patient-derived samples.
These promoters will be cloned into reporter plasmids to initially assess their properties relative to a standard
CMV promoter in prostate cancer cells and 3-dimensional patient-derived osteogenic prostate cancer cultures
in vitro. In Aim 2, the constructs will be evaluated in animal models. Our strategy relies on intravenously
injected GRP78-targeting AAVP engineered to deliver a Herpes Simplex Virus thymidine kinase (HSVtk)
transgene. Promoter-driven TK expression will be imaged with [18F]-FEAU by PET/CT and quantified by
qPCR. Tumor growth inhibition after ganciclovir treatment will be assessed in vivo by imaging, and tumor
sections will be evaluated by immunohistochemistry. The integration of transcriptional profiling, prostate
cancer cell targeting and molecular-genetic imaging within a single platform will potentially allow for the
monitoring of progression and response to therapy in pathologically indistinguishable, yet biologically diverse
patient cohorts with different disease outcomes. Given that the previous body of work has established GRP78
and IL11R as bona fide molecular targets in human prostate cancer, our methodological approach and
findings bear mechanistic and translational significance.",intermediate endpoint
2022,10374117,HL,R01,633593.0,"Novel integrative approaches for disease phenotyping, utilizing radiomics in Sarcoidosis","PROJECT SUMMARY/ABSTRACT
The goals of this proposal are to develop reproducible radiographic phenotypes of pulmonary sarcoidosis and
integrate radiographic data with clinical data, genetic variants and transcriptional signatures, redefining
sarcoidosis biomarkers. Our long-term goal is to use these integrative phenotypes and corresponding analytic
approaches to develop 1) new objective intermediate endpoints of disease progression and 2) predictive models
of disease progression to aid clinicians in clinical decision-making and researchers in trial design. Sarcoidosis is
a systemic granulomatous disease, primarily involving the lungs, which affects ~ 110 thousand individuals in the
United States, a prevalence which is likely underestimated. Usually diagnosed between 20-50 years of life, it
results in a significant decrease in quality of life and productivity. While some individuals experience spontaneous
resolution, others go on to develop severe disease. Current studies of pulmonary sarcoidosis rely on
characterization of lung abnormalities based on chest x-ray, visually using the Scadding staging system. It is
well recognized that there is misclassification of pulmonary disease based solely on Scadding stage. In addition,
this system is not useful for treatment decisions and variably predicts disease course or prognosis. Computed
tomography (CT) imaging of the lung to quantify parenchymal and other pulmonary abnormalities has offered
improved disease quantification in other lung diseases (idiopathic pulmonary fibrosis and COPD-emphysema).
We hypothesize that detailed radiomic analysis of lung CT images in sarcoidosis combined with visual
scoring metrics will identify new, more refined, phenotypes of lung disease and that combined with
clinical and transcriptomic information, will identify novel integrative disease phenotypes that can be
shown, in future longitudinal studies, to predict pulmonary disease resolution or progression. In this
project, we will 1) Develop a radiomic and comprehensive radiographic characterization of lung abnormalities in
a large cohort of sarcoidosis patients, 2) Integrate clinical, genetic, transcriptomic and radiomic characterizations
of sarcoidosis to identify predictors of radiomic features of sarcoidosis and develop new integrative phenotypes
of sarcoidosis, 3) Validate the clinical and genetic associated with radiographic features and a new integrative
phenotypes in a real-world clinical population, and 4) Characterize the longitudinal stability of radiographic
characterizations of lung abnormalities among a retrospective cohort of 75 patients. Successful completion of
this research will answer critical knowledge gaps as to how radiographic pulmonary abnormalities in sarcoidosis
relate to clinical and genetic phenotypes and how to combine radiographic assessment, clinical and
genetic/genomic data to identify distinct phenotypes of sarcoidosis. Ultimately, this proposal will establish new
standardized phenotypes for following disease longitudinally and identifying groups on which to intervene.
.",intermediate endpoint
2012,8256488,CA,F31,22221.0,Mechanistic Studies of MUC4 and NGAL in Pancreatic Adenocarcinoma,"DESCRIPTION (provided by applicant): Pancreatic cancer remains the most lethal cancer known to man, owing primarily to its lack of early symptom resulting in late diagnosis and lack of consistent treatment efficacy. MUC4 is a large-sized membrane- anchored mucin which is aberrantly overexpressed by most human carcinomas. We have previously reported that MUC4 promotes pancreatic tumor growth and metastasis by multiple mechanisms. In parallel to these studies, using immunohistochemistry in tissue microarrays containing well characterized tumors tissues, we observed elevated expression of neutrophil gelatinase associated lipocalin (NGAL), also known as Lipocalin 2 or uterocalin, during pancreatic cancer progression. Interestingly, the expression of NGAL correlated with MUC4 expression in these tissues. Immunocytochemistry showed co-expression of NGAL and MUC4 in pancreatic cancer tissue sections. Recent studies by our group have shown that NGAL is a potential diagnostic biomarker and its expression is upregulated as early as the preneoplastic PanIN-2 stage. Additionally, preliminary studies have shown that, in the pancreatic cancer cell line CaPan-1, MUC4 knockdown leads to decreased expression of NGAL. In the present study, I will further investigate the link between NGAL and MUC4 in pancreatic cancer using the cell lines CoLo-357, CaPan-1, MiaPaCa, and PANC-1 as well as healthy and neoplastic pancreatic tissue from both humans and murine models in pursuit of the hypothesis that MUC4, acting through HER2, regulates NGAL expression in pancreatic cancer and that this connection will prove highly relevant to the prognostic abilities of NGAL as a pancreatic cancer surrogate biomarker. In pursuit of this investigation I have formulated three specific aims. In the first specific aim, I will use knockdown and overexpression experiments as well as Western blotting, Quantitative-Real Time PCR, and immunohistochemistry to determine if expression of NGAL and MUC4 are reliably linked in pancreatic cancer and if this link is present at the translational and/or transcriptional level. In the second aim, I will elucidate the pathway by which NGAL and MUC4 expression are linked using currently-known upstream and downstream proteins and pathways as a starting-point. Specifically, based on literature and my preliminary results, I will begin by assessing if MUC4 regulates NGAL expression through HER2. In the third aim, I will use an immunocompetent murine model genetically manipulated to spontaneously produce pancreatic cancer that has been developed in our lab to assess the correlation between tissue and plasma NGAL and tissue MUC4 levels throughout the development of and advancement of pancreatic cancer. Through these aims, I expect to conclusively elucidate the biochemical connection between MUC4 and NGAL while improving on current evidence potentiating NGAL's utility as both an early diagnostic and prognostic surrogate biomarker for pancreatic cancer.            PUBLIC HEALTH RELEVANCE: Pancreatic cancer remains the most lethal human malignancy, owing mostly to a lack of early diagnosis and abysmal treatment efficacy in late-stage disease. Preliminary evidence suggests that MUC4, one of the earliest and most differentially upregulated genes in pancreatic cancer and which positively correlates with metastatic and tumorigenic potential, is upstream of NGAL, a secreted protein also found to be overexpressed in pancreatic tumor tissues as well as in the peripheral blood of pancreatic cancer patients. This study aims to define the mechanism by which MUC4 and NGAL expressions are linked, thereby bolstering the evidence for peripheral blood NGAL's use as a potential early diagnostic and prognostic marker in pancreatic cancer.",surrogate biomarker
2012,8269851,HL,R01,366300.0,Regulatory Mechanisms of Oxidative Stress in Hypertensive Heart Disease,"DESCRIPTION (provided by applicant): Hypertensive heart disease (HHD) has its pathophysiologic origins arising from the reparative fibrosis, or scarring, that replaces necrotic cardiomyocytes. Understanding the pathobiology behind cardiomyocyte necrosis will lead to the prevention of HHD while the availability of biomarkers predictive of necrosis and obtained noninvasively from peripheral blood mononuclear cells (PBMC) will aid in identification of risk. In addressing these objectives we use our established model of HHD provoked by aldosterone/salt treatment (ALDOST) and exploit its preclinical (wk 1) and pathologic (wk 4) stages. Central hypothesis: in HHD, fibrosis at wk 4 is due to oxidative stress- induced cardiomyocyte necrosis, where the cell's altered redox state is rooted in parathyroid hormone (PTH)- mediated intracellular Ca2+ overloading, including cardiac myocytes and mitochondria and PBMC, and where the rate of reactive oxygen species (ROS) generation overwhelms the rate of their detoxification by endogenous antioxidant defenses. This 2C+-adependent induction of oxidative stress promotes the opening of the mitochondrial permeability transition pore (mPTP) to culminate i n necrosis. This prooxidant state can be counterbalanced by the contemporaneous rise in cytosolic and mitochondrial 2Z+nserving as antioxidant. We hypothesize the dysequilibrium between pro- and antioxidant is inextricably linked to the coupled dyshomeostasis of Ca2+ and Zn2+. Mitochondria are the major source of ROS. Aim #1: to determine the cellular and molecular origins of oxidative stress arising from intracellular C2+a overloading and the role of intra mitochondrial Ca2+ accumulation, oxidative stress and mPTP opening in the signal-transduction pathway leading to necrosis and to compare heart tissue and its cardiac myocytes and mitochondria with PBMCW.e use mitochondria-targeted reagents: to b lock the 2+Cau niporter; t o serve as antioxidant; and to inhibit mPTP. Necrosis is prevented by increased [Zn2+]i, which induces its sensor, metal-responsive transcription factor (MTF)-1 and the antioxidant genes it regulates. Such uncoupling therapy includes: Zn4SOsupplement; PDTC, a Zn2+ ionophore; or ZnSO4 plus a mlodipine. Aim # 2: to explore the signal-transduction antioxidant pathway invoked by increased intracellular [Zn2+]i and promoted by ZnSO4, PDTC, or ZnSO4 with amlodipine, along with the role of MTF-1 regulated antioxidant defenses that eventuate in an antioxidant, anti-inflammatory phenotype in cardiac myocytes and to compare heart tissue and its cardiomyocytes and mitochondria with PBMC. PBMC share common pathophysiologic responses and upregulated gene networks with cardiac myocytes and mitochondria during ALDOST. We harvest PBMC throughout Aims #1 and 2 in search of novel surrogate biomarkers of risk, injury and response to intervention. Aim #3: i) to identify major components of the PBMC transcriptome and proteome having molecular mimicry with the pro inflammatory cardiac phenotype, including its mitochondrial proteome, and ii) to elucidate specific pathway candidates that could serve as noninvasive biomarkers predictive of risk during preclinical and pathologic stages of HHD.      PUBLIC HEALTH RELEVANCE: Heart failure is a major health problem. Hypertensive heart disease (HHD), a major factor contributing to the heart's failure as a muscular pump, involves an adverse structural remodeling of myocardium related to fibrosis. Our aim is to better understand mechanisms contributing to the appearance of fibrosis and to thereby identify risk and prevention of HHD.",surrogate biomarker
2012,8252547,NS,R42,780117.0,"Computational Tools for Research in Neuroscience, Behavioral Science and Mental H","DESCRIPTION (provided by applicant): We propose to develop a software package to automatically evaluate a subject's beta amyloid PET scan (using either C11-PIB, F18-florbetaben, or F18-florbetapir, F18-flutemetamol) by normalizing the subject's scan, masking away non-gray matter tissue (without relying on co-registered MRI scans), placing standardized ROIs onto the transverse slices, and reporting SUVr values in separate brain areas referenced to the cerebellar gray matter. Our goal is that this analysis package ultimately would be FDA-510(k) approved and distributed to hospitals and clinics (and pharmaceutical companies), as a commercial product, to aid in the evaluation and diagnosis of patients. Through the use of such a validated and standardized analysis package, new radio-tracers can be objectively compared for their accuracy in quantitating beta amyloid in the brain, and more importantly, new therapies can be objectively and quantitatively evaluated for their efficacy in preventing or removing beta amyloid for each patient, on a personalized individual basis. An important portion of the testing, user interface evaluation, and ADER's report generation utility and clinical application will be conducted in a subaward under the supervision of Dr. Michael Devous within the Nuclear Medicine Center at the UT Southwestern Medical Center, Dallas, Texas. At MNI, New Haven, we will continue to test and evaluate ADER in house within our Radio-tracer Evaluation Program (RTEP) program, where we continue to test potential new beta amyloid PET and SPECT imaging agents, while clinically evaluating subjects by our in-house neurologists and support staff. The potential benefit to society is considerable since an ADER analysis package would provide a quantitative biomarker analysis method for Alzheimer's disease progression for individualized therapy efficacy. Alzheimer's disease (AD) is associated with significant morbidity and a useful marker and/or brain scan analysis package, like this proposed ADER, would add to our understanding of AD disease progression and provide objective assessment of neuroprotective and restorative therapies. This fully automated image processing will also allow for fewer subjects to be studied (with the same clinical power) in clinical trials using new PET and SPECT radioligands. As new tracers and therapies are developed, ADER would co-evolve with these studies into an optimized image analysis method for diagnosing, staging and treating Alzheimer's disease.        PUBLIC HEALTH RELEVANCE: Evaluation of Radiotracers (ADER) Project Narrative We propose to develop an automated package for analysis of beta-amyloid accumulation in Alzheimer's patients' brains which can be easily implemented by pharmaceutical companies for therapeutic drug discovery, as well as in a clinical setting, for high quality quantitative PET (and SPECT) imaging assessments. This analysis will remove subjectivity in the determination of the imaging outcome measure and permit a reproducible evaluation of new Alzheimer's radio- tracers' imaging potential. ADER can be used to test the efficacy of new Alzheimer's therapies in which FDA Phase II tested radiotracers are used as surrogate biomarkers. Our validated image processing package is highly relevant to the ongoing search for new diagnostics and treatments since it will serve as a new medical device (as defined by the FDA), which will improve the way in which medical care is delivered to Alzheimer's patients.",surrogate biomarker
2012,8291213,MH,P30,1713678.0,Center for Novel Therapeutics for HIV-Associated Cognitive Disorders,"DESCRIPTION (provided by applicant): JHU NIMH Center for novel therapeutics for HIV-associated cognitive disorders. HIV-associated neurocognitive disorders (HAND) remain very prevalent, even among aviremic HIV+ individuals who treated with highly active antiretroviral treatments. HIV-related neuroscience research at Johns Hopkins University has focused on this challenging problem, exploring the issue of sustained CNS inflammation as a critical pathogenic mechanism for neurological damage. Despite the tremendous efforts to understand the mechanisms underlying the persistence of HAND, no definitive adjunctive therapeutics have yet entered clinical practice. There is also an unfilled need to develop surrogate markers and more robust and simpler screening instruments for HAND, to allow for earlier detection, for tracking of the course of HAND, and improving the efficiency of clinical trials. Collaborations at Johns Hopkins had been limited by the lack of a central organizing structure for this type of research, and resources to facilitate cross disciplinary and translational research. The JHU NIMH Center has addressed these needs over the past 5 years and has provided a resource to catalyze interdisciplinary research in HIV neuroscience, with the aim of leading to new therapies. The goals of the renewal application of the JHU NIMH Center are to: 1. To facilitate collaborative research in HIV-related neuroscience with the goal of developing a definitive therapy for HIV associated cognitive disorders based on targeting sustained CNS inflammation. 2. To increase resources for HIV-related neuroscience research at JHU and to enhance the productivity of HiV-related neuroscience research locally, nationally and internationally. 3. To encourage high-risk, innovative developmental research in Neuro-AIDS, especially of a cross-disciplinary nature with the specific aim of encouraging investigators (junior or senior) into this field. 4. To use focused medium throughput screening, using in vitro models to identify novel compounds useful for treatment of HIV-associated cognitive dysfunction with the over-arching theme of reducing the sustained CNS inflammation that we believe underlies the development of HAND. 5. To identify and validate surrogate biomarkers based on proteomics and lipomics.",surrogate biomarker
2012,8305521,AG,R01,569059.0,Early Diagnosis of Human Prion Disease,"DESCRIPTION (provided by applicant): Human prion diseases, such as Jakob-Creutzfeldt disease (CJD), are difficult to diagnose and are of increasing public health concern due to the risk of transmission. Our dementia program is a major referral center for prion diseases in the United States with 952 potential CJD referrals over the past six years. We also are conducting the first ever US sporadic CJD (sCJD) treatment trial, sponsored by the NIH. Unfortunately, many cases of sCJD are misdiagnosed or are diagnosed too late in the course for any future potential treatment to be effective. We, and others, have shown that brain MRI has very high sensitivity and specificity for sCJD diagnosis. Unfortunately, the most widely used diagnostic criteria for sCJD, Revised 1998 WHO Criteria, are problematic for several reasons: 1. they require symptoms that often do not occur until late in the disease course; 2. they do not use MRI; 3. they use a surrogate biomarker in the spinal fluid, the 14-3-3 protein, which we have found lacks sensitivity and specificity; and 4. they rely on certain electroencephalography (EEG) findings that have low sensitivity, particularly earlier in the disease. We will prospectively evaluate 100 patients with sCJD, 20 patients with symptomatic gCJD, and 40 patients with asymptomatic (presymptomatic gCJD) and 80 with other forms of rapidly progressive dementia (RPDs) over five years. We will conduct comprehensive assessments, including clinical, behavioral, spinal fluid surrogate marker, EEG, and MRI analyses. We will evaluate our gCJD at an age close to their predicted age of onset which will help us to identify the earliest signs of prion disease. A major focus will be to identify specific regions and patterns of abnormality on FLAIR and DTI MRI that can differentiate sCJD from other RPDs. Through this prospectively acquired data, we will devise a state of the art diagnostic scheme, using contemporary statistical classification techniques and logistic regression, for early diagnosis of sCJD. PUBLIC HEALTH RELEVANCE: Prion diseases are uniformly fatal, transmissible neurodegenerative diseases. At least one form can be transmitted by blood transfusion, and prions have now been found in several other tissues outside of the nervous system, including muscle, lymphoreticular tissues, and olfactory epithelia. Through earlier diagnosis, patients may be spared unnecessary and time-consuming diagnostic procedures and have better chance of responding to potential treatments, and the risk of transmission can be greatly reduced.",surrogate biomarker
2022,10362606,CA,R01,423986.0,Epigenetic Drug Regimens for Homologous Recombination Proficient Ovarian Cancer,"Poly ADP ribose polymerase inhibitors (PARPi) have shown extraordinary clinical benefits in the treatment of
BRCA mutant homologous recombination (HR) deficient ovarian cancer. A critical clinical problem is
chemotherapy drugs, including PARPi, are far less effective in BRCA wild-type HR proficient, poor prognostic
ovarian cancer (e.g. CCNE1 amplification/gain). Combining PARPi with other drugs is an emerging strategy to
overcome this problem. The PI has shown epigenetic drugs, histone deacetylase inhibitors (HDACi),
bromodomain extra-terminal inhibitors (BETi), and DNA methyltransferase inhibitors (DNMTi), enhance PARPi
efficacy in preclinical models of HR proficient ovarian cancer. Epigenetic drugs primarily activate or repress gene
transcription in a cell type- and context-dependent manner. In the context of CCNE1 amplified/gain HR proficient
ovarian cancer, the PI has demonstrated chemically diverse epigenetic drugs induce a âBRCA mutant-likeâ
contextual synthetic lethal phenotype, characterized by repressed HR gene expression and function. The overall
objective of this proposal is to determine if the extraordinary benefits of PARPi therapy can be extended through
rational PARPi-epigenetic drug combinations for a new indication in BRCA wild-type HR proficient, poor
prognostic ovarian cancer. Even with extensive published and preliminary results from the PI's group and others,
gaps in knowledge remain regarding optimal PARPi-epigenetic regimens for clinical use, appropriate biomarkers
of response, and precise underlying mechanisms of action. To address these gaps, we will apply a translational
research approach that takes full advantage of our collective expertise including: unique primary cell lines and
patient-derived xenograft (PDX) preclinical models, clinical patient biosamples associated with an approved
phase 1/2 trial, and state-of-the-art genome-wide strategies. As a result, we are perfectly positioned to test the
central hypothesis that epigenetic drugs enhance PARPi efficacy in BRCA wild-type HR proficient ovarian cancer
by inducing a BRCA mutant-like phenotype through repression of common HR transcriptional targets and
contextual synthetic lethality. The Specific Aims are designed to determine the therapeutic potential of new
PARPi-epigenetic drug regimens in preclinical models of ovarian cancer, to investigate HR deficient status as a
surrogate biomarker of a new PARPi-epigenetic drug regimen in clinical development, and to elucidate
mechanisms of response to PARPi-epigenetic drug regimens in HR proficient ovarian cancer cells using
genome-wide strategies. This innovative translational approach has high potential for advancing new preclinical
PARPi-epigenetic drug regimens to the clinic, along with new biomarkers as companion diagnostics, and new
mechanistic insights for both PARPi and epigenetic drugs. As a result, the proposed studies will have broad
implications beyond ovarian cancer. Because a critical clinical problem is the lack of effective treatment options
for BRCA wild-type HR proficient tumors, establishing benefits of PARPi-epigenetic therapy for this typically poor
prognostic ovarian cancer has the potential for high impact.",surrogate biomarker
2022,10374005,HL,R01,519041.0,Structural Determinants of Disease Progression in COPD,"Project Summary/ Abstract
 Chronic obstructive pulmonary disease (COPD) is an inflammatory disease of the lungs that results in
airflow limitation; it affects 24 million adults in the United States, and is the third leading cause of death. Recent
studies challenge the paradigm that COPD is uniformly progressive, but the mechanisms that underlie distinct
trajectories of disease progression are not well understood. A major hurdle in the advancement of therapies that
alter the progression of disease is our inability to precisely phenotype individuals with variable disease trajectories;
reliable surrogate biomarkers to predict clinical progression in individual subjects are lacking. Furthermore, existing
pharmacotherapies have a modest impact on respiratory morbidity and fail to impact the rate of FEV1 decline.
These medications target airway tone and inflammation, and none directly target structural changes involving the
airways or alveolar remodeling (emphysema) that underlie FEV1 change. Thus, a major gap in understanding is
the identification of inter-dependent pathways of structural airway/alveolar remodeling that determine disease
progression which would inform more precise diagnostic and therapeutic strategies for COPD.
 The origins of COPD are believed to be in the small conducting airways less than 2 mm in diameter but these
data are mostly cross-sectional. In addition, COPD is characterized by both airway remodeling and alveolar
destruction; it is likely that both processes contribute to disease initiation and progression. Our preliminary findings
suggest that disease progression occurs due to a complex interplay of structural changes in the lungs, both in the
parenchyma and in the airways, including mechanical stretch of normal parenchyma, distribution of emphysema,
and airway remodeling. Disease progression is not reflected entirely by FEV1 changes and progression of structural
disease is an important determinant of disease trajectory. Based on these findings, we hypothesize that structural
anatomic and mechanical factors in both the airway and alveolar compartments contribute to disease progression in
COPD.
 To test these hypotheses, we will analyze data from two large well-characterized cohorts (Genetic
Epidemiology of COPD, COPDGene, and Subpopulations and Intermediate Outcome Measures in COPD Study,
SPIROMICS) with 5-year follow-up with the following specific aims. Aim 1 of this application will be to determine
whether mechanically affected lung leads to initiation and progression of emphysema. In Aim 2, we will determine
whether the spatial distribution of emphysema influences disease progression. In Aim 3, we will determine whether
longitudinal changes in airway remodeling are associated with lung function decline.
 The results will identify mechanisms of disease progression, establish novel imaging biomarkers, and help
create precise models that will allow development of more targeted therapies to attenuate disease progression.",surrogate biomarker
2022,10427308,NS,R01,419475.0,Development of fast penumbral imaging in acute ischemic stroke,"PROJECT SUMMARY/ABSTRACT
Imaging is an essential tool to guide stroke patient management. Recent DAWN and DEFUSE-3 trials have
provided the definitive evidence that imaging is critical to guide late endovascular therapy (EVT), underscoring
the need to transition from onset time-based to tissue-based treatment. However, it has been estimated that
the majority of stroke patients (~70%) presenting 6-24 hrs with NIH Stroke Scale (NIHSS) over 6 are not
DAWN and/or DEFUSE-3 eligible (Desai et al. J Neurointerv Surg. 2018; 10:1033-37). The 2018 American
Heart Association Stroke Early Management Guidelines pointed out that it is ââ¦ reasonable to incorporate
collateral flow status into clinical decision making in some candidates to determine eligibility for mechanical
thrombectomy.â Tissue metabolic MRI is a surrogate biomarker of the collateral flow status that is promising to
address this clinical need. We will develop fast pH and diffusion kurtosis imaging (DKI) and evaluate their value
for guiding reperfusion therapy in experimental stroke models.
During the previous funding cycle, we made steady progress in developing new stroke MRI techniques. We
developed pH-specific imaging based on magnetization transfer and relaxation-normalized amide proton
transfer (MR-APT) MRI (Guo et al. Neuroimage 2016;242-9). Using filament middle cerebral artery occlusion
rats, we refined the perfusion/diffusion-weighted imaging (PWI/DWI) lesion mismatch for the metabolic
penumbra and benign oligemia (Wang et al. Neuroimage 2019;610-7). Our acute stroke patient study showed
that the volumes of acute DKI lesions have a higher correlation coefficient than those on the apparent diffusion
coefficient (ADC) maps with 1-month follow-up T2 images (Yin et al. Radiology 2018:651-7). This echoes the
recent study from NINDS investigators who reported: âADC evolution in patients with early, complete
revascularization, now more commonly seen with EVT, is strikingly different from our historical understanding.â
(Hsia et al., Stroke. 2019;50:2086-92) We hypothesize that new fast MRI techniques refined tissue-clock helps
delineate ischemic tissue, predict tissue outcomes in permanent stroke, and guide reperfusion treatment. It is
urgent to test the refined tissue-clock, in the presence of common stroke comorbidities and in the experimental
setting, before initiating future prospective clinical trials. Briefly, we will develop robust fast pH and DKI stroke
imaging (Aim 1), establish the spatiotemporal evolution of the refined MRI in MCAO rats (Aim 2), and test
tissue-clock-guided reperfusion in rats of common stroke comorbidities of age and diabetes (Aim 3). The
success of the project will lay the groundwork for future clinical trials to test advanced imaging-guided stroke
treatment in the clinic.",surrogate biomarker
2022,10335737,AG,R01,8413794.0,API A4 Alzheimer's Prevention Trial,"Project Summary/Abstract
 There is an urgent need to find and accelerate approval of Alzheimerâs disease (AD) prevention therapies.
Aducanumab is an antibody that binds selectively to amyloid-Î² (AÎ²) oligomers and fibrils. In a Phase 1b trial of
clinically affected AD patients with AÎ² plaques, it dramatically reduced AÎ² plaque burden and appeared to slow
cognitive decline. Alzheimerâs Prevention Initiative (API) and Anti-Amyloid Treatment in Asymptomatic
Alzheimerâs (A4) Trials leaders have come together to propose a 24-month, multicenter, double blind, placebo-
controlled prevention trial of aducanumab using AD biomarker endpoints as primary outcomes, along with
cognitive/clinical, safety, and tolerability outcomes, in cognitively unimpaired 65-80 year-old AÎ² PET+ persons
stratified for presence or absence of the APOE4 allele. We will continue the blinded, randomized treatment past
24 months until we learn the results of the ongoing Phase 3 aducanumab program in persons with early AD. If
the Phase 3 program shows significant cognitive and/or clinical benefit and also shows that aducanumabâs AÎ²
PET effects, alone or in combination with downstream biomarker effects, are associated with clinical benefit, and
our 24-month trial showed identical biomarker effects, the findings would be used to support aducanumabâs
âaccelerated approvalâ in unimpaired AÎ²+ persons based on those biomarker effects; in doing so, it would
advance the potential use of surrogate biomarker endpoints to rapidly test prevention therapies in almost
everyone at biomarker or genetic risk. At that point, participants would receive open-label treatment and Biogen
would conduct post-marketing studies following FDAâs guidance to confirm that the treatmentâs 24-month
biomarker are associated with subsequent clinical benefit, as required under the FDAâs accelerated approval
provisions. Our deliberately ambitious proposal is intended to 1) find an approved prevention therapy as early
as 2023, ahead of the National Plan to Address ADâs goal to âprevent AD by 2025,â and 2) advance the use of
surrogate biomarkers to rapidly test and support accelerated approval of prevention therapies in almost everyone
at biomarker or genetic risk, even in earlier preclinical AD stages when some treatments may have their greatest
benefit. However, if the Phase 3 program does not show significant benefit, the stakes would be even higher for
our trial, since the question would remain whether intervention before clinical stages of AD is necessary to attain
benefit. We would modify the trial by using the Preclinical Alzheimer Composite Endpoint-Revised (PACC-R) as
the primary outcome and continuing blinded treatment until the last participantâs 48-month visit, clarify whether
the treatmentâs 24 month biomarker effects are associated with subsequent cognitive benefit, and seek to
achieve our goals by 2025. Regardless of the Phase 3 results, the proposed trial offers an unprecedented chance
to find, approve and support the availability of prevention therapies as soon as possible. It would capitalize on a
public-private partnership, NIH support, $5-10M in philanthropy, access to aducanumab and most of the financial
support from Biogen, provide a public resource of data and samples, and have the maximum public benefit.",surrogate biomarker
2012,8210853,CA,R01,325509.0,"The effects of randomized, low-dose hormone therapy on mammographic density in KE","DESCRIPTION (provided by applicant): Despite data from clinical trials showing an increased risk of breast cancer and lack of overall benefit for primary prevention with hormone therapy (HT), there is still significant usage of HT by clinicians and women for treatment of moderate-to-severe systemic menopausal symptoms. Due to the possible increased risks with these preparations, current clinical recommendations advocate utilizing the lowest dose for the shortest possible duration, but average duration is often for 2-4 years. However, the effects of commonly used low-dose HT regimens on breast density and breast cancer risk are unknown. Recent data from intervention trials support the long standing hypothesis that hormonal effects on breast cancer risk are mediated through breast density. The Kronos Early Estrogen Prevention Study (KEEPS) is an ongoing, already- funded randomized clinical trial with a primary goal of examining the effects of 4 years of low- dose transdermal versus oral estrogen combined with cyclic micronized progesterone on progression of subclinical atherosclerosis in recently menopausal women. The proposed ancillary study will efficiently examine the effects of randomized low-dose HT on key breast cancer surrogate endpoints: mammographic density and rates of abnormal mammograms. In KEEPS, a total of 720 women were randomized to oral conjugated equine estrogens (0.45 mg/d), transdermal 17-beta estradiol (50 mcg/d), or placebo, with cyclic micronized progesterone (200 mg for 12 days) for active hormonal therapy groups. All participants were required to have mammography prior to study entry as well as yearly during follow-up; blood samples also were collected at these time points. Randomization was completed in 2008. In this ancillary study, digital mammograms (available on 510 participants) from baseline, year 1 and year 3 will be obtained and processed centrally to calculate mammographic density. We will determine if these two low-dose HT regimens are associated with change in mammographic density. We will also examine if baseline mammographic density or circulating biomarkers including estradiol, estrone, and estrone sulfate, modify or mediate changes in breast density with HT. In addition, the effects of hormonal regimens on the rates of abnormal mammogram and biopsy will be determined. By determining the effects of low-dose combined HT on the breast, the proposed study will add timely and important information about the estimated balance of risks and benefits associated with low-dose HT and will help guide future research.       PUBLIC HEALTH RELEVANCE: Combined estrogen and progestin therapy has been shown to increase mammographic density and incidence of breast cancer in randomized trials. We propose to examine the effects of now commonly used low-dose combined hormone therapy (HT) regimens on breast density, rates of abnormal mammogram, and circulating estrogens in the ongoing, already-funded Kronos Early Estrogen Prevention Study (KEEPS). KEEPS is a randomized clinical trial with a primary goal of examining the effects of low-dose transdermal versus oral estrogen combined with cyclic micronized progesterone on progression of subclinical atherosclerosis in recently menopausal women. Prior studies of low-dose HT have been of short duration and small size. By determining the effects of low-dose hormone therapy on the breast, the proposed ancillary study will add important information about the estimated balance of risks and benefits associated with low-dose HT and will help guide future research trials.",surrogate endpoint
